subject,relation,object
Marie Surcouf,languages spoken written or signed,French
National Film Awards,country,Nepal
Leopard 2,of,model
Franck Ribéry,languages spoken written or signed,German
Sōkichi Furutani,country of citizenship,Japan
DanTDM,given name,Daniel
Wes Anderson,unmarried partner,Juman Malouf
Periyar E. V. Ramasami,languages spoken written or signed,Hindi
Metroid Fusion,place of publication,Japan
Walsworth,located in the administrative territorial entity,North Hertfordshire
Jay Simpson,league,Major League Soccer
Terah,residence,Ur
Colin Powell,cause of death,COVID-19
Bibras Natkho,country,Israel
ESET NOD32 Antivirus,operating system,Android
Nedumudi Venu,place of death,Thiruvananthapuram
Natalia Cruz,native language,Spanish
Karel Sládeček,native language,Czech
Janine Wissler,elected in,2021 German federal election
Galyani Vadhana,educated at,International School of Geneva
Eastern Rukum District,capital,Rukumkot
Scoob!,character role,Shaggy Rogers
United States v. Throckmorton,country,Kansas
Nina Simon,occupation,author
Despicable Me 2,IFCO rating,G
Melis Özçiğdem,native language,Turkish
Suzanne Jackson,has works in the collection,California African American Museum
Basketball at the 2016 Arctic Winter Games,instance of,event
Haibatullah Akhundzada,language of work or name,Arabic
Petit,country for sport,Germany
John Augustine Edgell,military branch,Royal Navy
Zhan Tao,place of birth,Yanzhou District
Wilhelm Topps Minde,instance of,building
Iya Gavrilova,educated at,University of Calgary
Daishen Nix,inferred from,NBA G League
Al-Shafi‘i,language of work or name,Somali
Zin Wine,place of birth,Yangon
Isaac Lumago,place of birth,Koboko
Second Mafia War,participant,Corleonesi
Colin Jones,educated at,Royal Ballet School
Sage Steele,original broadcaster,ESPN
indigenism,practiced by,indigenous people
Espen Barth Eide,cabinet,Støre's Cabinet
Ndrangheta,headquarters location,Calabria
Hartmut Geerken,place of death,Wartaweil
Ionel Nicolae Romanescu,languages spoken written or signed,Romanian
German,language of work or name,English
Qurban,instance of,sacrifice
Angelo Codevilla,manner of death,accident
Bosch,filming location,Los Angeles
Attica Scott,place of birth,Kentucky
Soony Saad,inferred from,USL Championship
Halloween,instance of,Vigil
Marriott International,subsidiary,The Luxury Collection
Paddy Moloney,place of death,Dublin
TFI International,country of origin,Canada
Arthur Holroyd,occupation,barrister
Bear Island,different from,Bjørnøya
Elsie Cameron Corbett,occupation,ambulance driver
Natasha Lyonne,country of citizenship,Israel
Garrincha,country of citizenship,Brazil
Echigo Tokimeki Railway Company,item operated,Nihonkai Hisui Line
Jovita Moore,employer,WSB-TV
Mexico,applies to part,Hidalgo
Hank Aaron,located in the administrative territorial entity,Georgia
Ryan Martinie,member of,Mudvayne
BioNTech,product or material produced,vaccine
Pele,sibling,Hiʻiaka
Ronald de Boer,kinship to subject,twin
Cyclone Mora,country,India
Solomon,of,Islam
Nadia Comăneci,unmarried partner,Bart Conner
Whitney Wolfe Herd,employer,Bumble
Taro Kono,writing language,Japanese
Eden Shamir,country,Israel
Peter Jenkins,cause of death,COVID-19
The Left,replaces,Party of Democratic Socialism
God of War,developer,Jetpack Interactive
XVIII International Chopin Piano Competition,language of work or name,Polish
Teresa Miller,occupation,teacher
Ivan Bartoš,results,-elect
Brother Industries,industry,printer
São Paulo FC,head coach,Rogério Ceni
David Johnson,country of citizenship,Jamaica
Artemis program,uses,Orion
Iya Gavrilova,academic major,accounting
Benjamin Wolff,place of birth,Copenhagen
Felix Mlusu,country of citizenship,Malawi
Robin,derivative work,Dick Grayson
Critical Role,distribution format,YouTube
2021 German federal election,successful candidate,The Left
Radek Koten,native language,Czech
Grand Theft Auto,platform,Nintendo Switch
Sergi Barjuan,coach of sports team,RCD Mallorca
Marte Mjøs Persen,position held,Minister of Petroleum and Energy
Jonathan de Guzmán,sibling,Julian de Guzman
E. W. Scripps Company,owner of,WMAR-TV
Bertie Louis Coombes,place of birth,Wolverhampton
Alexander Kreuter,languages spoken written or signed,German
James LaBrie,member of,Winter Rose
mitre,worn by,Catholic bishop
Mexico,applies to part,Baja California
Paramount Domestic Television,parent organization,Viacom
Miler Bolaños,country for sport,Ecuador
Endell Street,connects with,Betterton Street
Alex Saab,eye color,brown
Fort MacArthur,has part,Battery Osgood-Farley
Martha Henry,place of death,Stratford
Luka Garza,league,National Basketball Association
Chengdu,language of work or name,Chinese
Concord Point Light,applies to part,tower
Carlo Trigilia,native language,Italian
Alexis Mac Allister,father,Carlos Mac Allister
Paseo del Bajo,instance of,highway
S. Iswaran,position held,Minister for Trade and Industry
International Society for Krishna Consciousness,religion,Gaudiya Vaishnavism
Shooter Jennings,mother,Jessi Colter
Benjamin Wolff,place of death,Engelholm
Bergman Island,place of publication,Sweden
John E. Murray,educated at,New York Law School
Kota Matsuda,writing language,Japanese
Pilgrim Airlines Flight 458,location,Scituate Reservoir
Otto Wichterle,notable work,contact lens
Emiliano Marcondes,languages spoken written or signed,Danish
Mako Komuro,languages spoken written or signed,Japanese
No Time to Die,EIRIN film rating,G
Penza State University,language of work or name,Russian
Mobile Suit Gundam SEED Destiny,production company,Sunrise
Lim Kim San,position held,Minister for National Development
scintillation counter,different from,scintillation detector
Neil Sedaka,occupation,recording artist
Frank Gray,child,Andy Gray
Otto Wichterle,native language,Czech
Klaas-Jan Huntelaar,league,La Liga
The Secret of the Sword,voice actor,Lou Scheimer
Monika Aidelsburger,employer,Ludwig Maximilian University of Munich
Greyhound Lines,subsidiary,BoltBus
Earl Sinks,member of,The Crickets
Joanna Rakoff,educated at,Columbia University
Shusha,statement disputed by,Azerbaijan
The Hall of Presidents,characters,George Washington
Dorrit E. Jacob,affiliation,Australian National University
Cathrine Gyldensted,occupation,correspondent
Bruno Visentini,native language,Italian
Colin Powell,of,COVID-19
Chbab Srey,country,Cambodia
Ant-Man and the Wasp,instance of,sequel
Red River Campaign,participant,Kansas
Sherita Hill Golden,employer,Johns Hopkins University
39th Chess Olympiad,country,Russia
presidency of Ulysses S. Grant,applies to jurisdiction,Kansas
Kitty Gordon,given name,Constance
Energy Hastei,performer,Amir Tataloo
MrBeast,family name,Donaldson
Jonathan Kodjia,country for sport,France
John of Austria,replaced by,Alexander Farnese
Martina Stoessel,genre,reggaeton
Ola Borten Moe,replaces,Henrik Asheim
André Wlodarczyk,languages spoken written or signed,Japanese
Betty Wood,occupation,historian
Colette,place of birth,Saint-Sauveur-en-Puisaye
World Forestry Congress,country,Canada
Rumble Pak,instance of,video game
Bakerloo line,uses,fourth rail
Pushpa Lal Shrestha,place of birth,Ramechhap District
C++/WinRT,part of,Windows App SDK
Evelyn Hatch,given name,Maud
Wang Yaping,astronaut mission,Shenzhou 13
Janet Gardner,member of,Vixen
Tour of Croatia,has part,2021 CRO Race
Seán Brosnan,place of birth,Dingle
Norwegian Minister of Health and Care Services,officeholder,Ingvild Kjerkol
Virtus.pro,sports discipline competed in,Dota 2
Let It Go,music created for,Frozen
Doukhobors,country,Russia
Tower City Center,has part,Landmark Office Towers
