subject,relation,object
Nagpur Metro Rail,has part,Congress Nagar
Come and Get It,composer,Paul McCartney
Kool & The Gang,has part,Ronald Bell
Turnberry Lighthouse,color,white
instant messaging,subclass of,software
Folsom Library,part of,Rensselaer Libraries
Medtronic plc,replaces,Omar Ishrak
Taliban,chairperson,Akhtar Mansour
Queens,determination method,census
Mangkunegara IX,country of citizenship,Indonesia
B. Wayne Hughes,place of death,Lexington
Benoît Genecand,place of death,Geneva
Makihiro Motomiya,participant in,2020 Summer Olympics
Islamic Emirate of Afghanistan,replaced by,Abdullah Abdullah
San Jose,different from,San José
Ahmedabad Metro,has part,Amraiwadi
Percha Leanpuri,languages spoken written or signed,Indonesian
women in Africa,subclass of,gender role
Belsat TV,language of work or name,Polish
Radio 1's Big Weekend,location,United Kingdom
Krzysztof Szczerski,position held,permanent representative
Stephen Boock,country for sport,New Zealand
Christina Ricci,unmarried partner,Owen Benjamin
Edvard August Vainio,languages spoken written or signed,Swedish
LA Current,sport,swimming
James Franklin,country for sport,New Zealand
Valeriane Gvilia,member of sports team,Raków Częstochowa
Our Lady of the Redwoods Abbey,instance of,monastery
Sunao Tokunaga,notable work,Taiyō no nai Machi
Office of Public Works,different from,OPW
Lisa Kudrow,residence,Encino
Giriyanapalya,located in the administrative territorial entity,Karnataka
Stanislav Hanzík,language of work or name,German
Transbaikal State University,located in the administrative territorial entity,Chita
Balázs Orbán,occupation,lawyer
L'estro Armonico,form of creative work,concerto grosso
Iyad Shalabi,occupation,swimmer
asphalt,subclass of,bitumen
Dmitry Zhirnov,occupation,diplomat
Róża Kozakowska,occupation,paralympic athlete
neo-Nazism,political alignment,far-right
Harpers Ferry,located in or next to body of water,Potomac River
verse,different from,poem
Edvard August Vainio,located in the administrative territorial entity,Finland
The Last Roundup,has part,A Star Called Henry
electrum,different from,amber
Efkan Ala,position held,Governor of Batman
German reunification,different from,Unification of Germany
Brunetto Brunetti,languages spoken written or signed,Italian
Brian Martin,educated at,University of Sydney
Siti Sarah,occupation,singer
Shakib Al Hasan,country for sport,Bangladesh
The Human Stain,genre,novel
Sonny Chiba,cause of death,COVID-19
Thalaivi,screenwriter,Madhan Karky
Mohammed Omar,member of political party,Taliban
Janet Carnochan,country of citizenship,Canada
science fiction film,instance of,science fiction genre
Shang-Chi and the Legend of the Ten Rings,cast member,Ben Kingsley
Zonia Baber,educated at,Chicago State University
Ahmed El-Gendy,sport,modern pentathlon
Gabri García,coach of sports team,FC Andorra
Billy Power,given name,Ward
Coffee Crisp,country of origin,Canada
Abrdn,chairperson,Sir Douglas Flint
Óscar García Junyent,coach of sports team,Olympiacos F.C.
Hans Erik Deckert,languages spoken written or signed,German
Sokratis Papastathopoulos,participant in,2020 FA Cup Final
Edvard August Vainio,languages spoken written or signed,Finnish
Luise Reuter,languages spoken written or signed,German
Graham Manou,country for sport,Australia
Sabina Ajrula,notable work,Eşkıya Dünyaya Hükümdar Olmaz
Gordon MacRae,time period,20th century
Governor of New York,officeholder,Kathy Hochul
Purgatorio,language of work or name,Tuscan
Hristo Stoichkov,subject has role,winger
Leon Bailey,league,Premier League
Adolf von Glümer,military rank,lieutenant
Mark Malyar,participant in,2020 Summer Paralympics
Sarah Speight,award received,Lord Dearing Award
The Orkney Museum,headquarters location,Kirkwall
Owen L. W. Smith,occupation,teacher
Anice Terhune,occupation,church organist
Heinrich Gattermeyer,languages spoken written or signed,German
Wes Miller,occupation,head coach
Tristan Thompson,child,2
Petr Pimashkov,place of death,Sochi
Heinosuke Gosho,located in the administrative territorial entity,Tokyo
Hanna Brummenæs,place of birth,Haugesund
Grace Davidson,instrument,soprano
Emma McKeon,participant in,2020 Summer Olympics
Volt Europa,subsidiary,Volt Netherlands
Louis Sutherland,academic degree,Bachelor of Performing Arts (Acting)
Devra Davis,given name,Lee
Shinji Okazaki,member of sports team,FC Cartagena
Adam Peaty,member of sports team,London Roar
capitalism,significant event,Industrial Revolution
Ziggy Marley,object has role,name
Elizabeth Mary Chiarella,occupation,nurse
Grupo Arcor,owner of,Chocolate Aguila
Serguéi Vladímirovich Orlov,occupation,astrophysicist
An-Nur Mosque,located in the administrative territorial entity,Dili
Jordyn Poulter,residence,Aurora
Damer Theatre,located in the administrative territorial entity,Dublin
A$AP Rocky,unmarried partner,Rihanna
Faber-Castell,owned by,Kaspar Faber
