subject,relation,object
594913 ʼAylóʼchaxnim,discoverer or inventor,Zwicky Transient Facility
Marc Gasol,owner of,Bàsquet Girona
Sewing with Nancy,cast member,Nancy Zieman
The Threepenny Opera,form of creative work,play
Truman W. Brophy,given name,William
DZIQ,applies to part,transmitter
Hey Slavs,language of work or name,Slovak
Peter Lenard Zimroth,place of birth,Brooklyn
Statuette of the lady Tiye,significant person,Émile Chassinat
Namdev Kamble,languages spoken written or signed,Marathi
Ernst te Peerdt,student of,Wilhelm von Diez
Gretta Ray,country of citizenship,Australia
Paul Benioff,father,Hugo Benioff
Francis Makemie,place of birth,Ramelton
Luther Burbank,political ideology,eugenics
Aiko Kitahara,place of death,Tokyo
Timothée Chalamet,located in the administrative territorial entity,New York
Richard Ransom,conflict,World War II
Paul Goodwin,place of birth,Warwick
Ernestine Ygnacio-De Soto,occupation,illustrator
Yubisaki Milk Tea,country of origin,Japan
Caesar and Cleopatra,form of creative work,play
Gabasongduo,capital of,Tongde County
vulture bee,main food source,carrion
Space Launch System,facet of,rocket
Charles H. Purcell,place of death,Sacramento
Collingwood Football Club,language of work or name,Spanish
Helgoland lighthouse,applies to part,tower
Diogo Jota,acquisition transaction,loan
Lee Ungno Museum,located in the administrative territorial entity,Daejeon
Statuette of the lady Tiye,owned by,Metropolitan Museum of Art
Lou Cutell,place of birth,New York City
Manolis Hatzidakis,field of work,Byzantine art
Pontifical Swiss Guard,language of work or name,Italian
Moran Atias,kinship to subject,sister
Napalm,genre,documentary film
Avery Trufelman,educated at,Wesleyan University
Kingdom of Italy under Fascism,capital,Rome
James Bond,applies to part,You Only Live Twice
John Mayer,unmarried partner,Jennifer Love Hewitt
Bombardier Innovia APM 100 C801,replaced by,Bombardier Innovia APM 300R C801B
Harriette Lucy Robinson Shattuck,occupation,suffragist
Chuck Gray,replaces,Thomas Lockhart
Brooklyn Center,applies to part,land
odds,symbol represents,event
Malala Yousafzai,spouse,Asser Malik
Bristol,applies to part,land
Esmeraldo de Situ Orbis,language of work or name,Portuguese
Plantungan concentration camp,country,Indonesia
Jørgen Haugen Sørensen,place of birth,Copenhagen
William Stebbins Barnard,educated at,Cornell University
87 Clockers,country of origin,Japan
Touhou Gouyoku Ibun,publisher,Twilight Frontier
Polystichum drepanum,basionym,Aspidium drepanum
Chinese Filipino,country of citizenship,Philippines
metoidioplasty,different from,phalloplasty
Hierodoris eremita,host,Celmisia
Abdul Wahab Dalimunthe,language of work or name,Indonesian
Andrew Leith Adams,military rank,surgeon
Ángel Martín,medical condition,psychotic break
DaniLeigh,unmarried partner,DaBaby
quotation marks,depicted by,”
Aron Winter,languages spoken written or signed,Dutch
Mystery Case Files,developer,Eipix Entertainment
Sara,cast member,Brenda Vaccaro
Tartuffe,form of creative work,play
Luiz Sá,employer,O Tico-Tico
Slide Hampton,given name,Locksley
Jack Unterweger,place of detention,Graz-Karlau Prison
Alireza Akhondi,work location,Stockholm
John Mayer,unmarried partner,Katy Perry
pound sterling,depicted by,£
Eagle catching Fish,facet of,ichthys
Dance Showdown,cast member,Dominic Sandoval
Gennadi Muravin,language of work or name,Finnish
John Lee Tae-seok,educated at,Inje University
The Hothouse,form of creative work,play
Eyal Golasa,country for sport,Israel
Statuette of the lady Tiye,location of discovery,Gurob
The Miracle Worker,form of creative work,play
Fred D. Shepard,spouse,Fannie Perkins Shepard
Dell Inc.,board member,Michael Dell
Me Too movement,facet of,#MeToo movement
James Devereux Hustler,occupation,academic
Man and Superman,form of creative work,play
Knight or Dame of St. Andrew,part of,Order of Barbados
Nikolai Smolin,occupation,painter
Charles H. Purcell,place of burial,East Lawn Memorial Park
Naruto,characters,Rock Lee
Beth,composer,Stan Penridge
Mirotic,language of work or name,Japanese
Jack Whiting,occupation,singer
Let It Be,recorded at studio or venue,3 Savile Row
Ayaka Furue,occupation,golfer
Garswood,located in the administrative territorial entity,Seneley Green
Carla P. Catterall,educated at,University of Queensland
Trepassia,parent taxon,Rangeomorph
Flip Stapper,place of birth,Amsterdam
Edyth Starkie,educated at,Académie Julian
I vespri siciliani,genre,opera
1979 Egyptian Open,surface played on,clay court
Eyal Golasa,father,Avner Golasa
Karel Havlík,occupation,politician
Red,form of creative work,play
Savage,applies to part,land
Hugh Ker,sport,rugby
Ilaïsaane Lauouvéa,languages spoken written or signed,French
Kaal Bhairav Rahasya,cast member,Rahul Sharma
Villilä studios,instance of,film studio
Hierodoris frigida,type locality (biology),Dun Mountain
The Snowstorm,form of creative work,short story
Ezekiel,position held,prophet
Michitomo Kanamori,country of citizenship,Japan
Pont–Vallorbe Railway,merged into,Jura–Simplon Railway
Bellingham Square station,applies to part,Newburyport/Rockport Line
True Love,form of creative work,short story
Zuhair Ramadan,has cause,death
Santosham Best Screenplay Award,part of,Santosham Film Awards
Tochigi dialect,indigenous to,Tochigi Prefecture
Slovenia in the Eurovision Song Contest 2020,follows,EMA 2020
Nicole Malliotakis,academic degree,Master of Business Administration
2021 United Nations Climate Change Conference,has cause,global warming
Mann,country of origin,Nepal
Karam Mashour,country,Israel
Copenhagen,form of creative work,play
Hikari,country of citizenship,Japan
Sagwa the Chinese Siamese Cat,voice actor,Sonja Ball
Helgoland lighthouse,applies to part,lantern
Takako Nakamoto,languages spoken written or signed,Japanese
Sam Fender,notable work,Seventeen Going Under
Paul Rudd,located in the administrative territorial entity,New Jersey
Laguerre polynomials,different from,associated Laguerre polynomial
Zvi Zilker,academic major,civil engineering
Jaan Lippmaa,country of citizenship,Estonia
Shin Megami Tensei V,publisher,Atlus
Pamela Snow,educated at,La Trobe University
1973 Fidelity Tournament,part of,1973 World Championship Tennis circuit
Brighouse Rangers RFC,instance of,rugby
Haugesund Kommune v DEPFA ACS Bank,country,United Kingdom
Karam Mashour,country for sport,Israel
Organization of the Petroleum Exporting Countries,member of,Equatorial Guinea
John P. Bankhead,father,James Monroe Bankhead
Maryam Modjaz,employer,New York University
Wessyngton,criterion used,C
Buena Vista Social Club,EIRIN film rating,G
David McFarlan,sport,rugby
Palmerola International Airport,different from,Soto Cano Air Base
Zapyrastra stellata,type locality (biology),Wānaka
Ogechi Adeola,field of work,business studies
Weddinger Opposition,language of work or name,German
vulture bee,named after,carrion
Chauve,has part,sculpture
Nathy Peluso,for work,Calambre
Ring,has part,Loop
The Palace of Eternal Life,form of creative work,play
IodaRacing Project,sport,Grand Prix motorcycle racing
Etel Adnan,place of death,Paris
Organization of the Petroleum Exporting Countries,member of,Iran
Grace Yia-Hei Kao,field of work,theology
Śruti,religion,Hinduism
Ray Kennedy,language of work or name,Spanish
Paul G. Pearson,place of burial,Oxford
Machinal,form of creative work,play
The Courier,EIRIN film rating,G
Digital Audio Broadcasting,subclass of,channel
Robert Bly,place of death,Minneapolis
Yangko Dance,original language of film or TV show,Chinese
Madhabi,award received,Madan Puraskar
Lexington Avenue/59th Street,towards,Pelham Bay Park
Steve Hobbs,replaces,Kim Wyman
Doug MacLeod,place of death,Melbourne
Evaleen Stein,educated at,Art Institute of Chicago
William Gidley Emmett,place of birth,Beeston
Edson Rontani,place of death,Piracicaba
Vanda Sigurgeirsdóttir,country of citizenship,Iceland
Boris Popper,languages spoken written or signed,Russian
Gordon Crosse,place of birth,Bury
Laura Ricciardi,academic major,film
quotation marks,depicted by,«
Fiona Crombie,employer,Sydney Theatre Company
2007 Liberal Democrats leadership election,candidate,Chris Huhne
Hernâni Coelho,country of citizenship,Timor-Leste
El Port del Comte,located in the administrative territorial entity,La Coma i la Pedra
Slavi's Show,cast member,Slavi Trifonov
Francis Sumner Merritt,place of birth,Danvers
Ch'p,present in work,Green Lantern
The Author's Farce,form of creative work,play
Joseph A. McChristian,place of birth,Illinois
George Izard,member of military unit,Corps of Artillerists and Engineers
ganmodoki,made from material,tofu
Frank G. Wisner,has quality,acting
Starship,follows,Falcon Heavy
Marlowe,based on,The Little Sister
High Court of Justiciary,work location,Livingston
Charles W. Thomas,academic degree,master's degree
Boney,cast member,James Laurenson
Icon of the Mother of God and Infant Christ (Virgin Eleousa),made from material,gold leaf
Keio Academy of New York,director / manager,Ralph Townsend
Alessandra Iozzi,occupation,mathematician
Internet censorship,main subject,access
Antonio Escohotado,native language,Spanish
Dan Oates,academic degree,Juris Doctor
Mojo,enemy of,Longshot
Bangla Bhasha Prachalan Ain 1987,country,Bangladesh
Knut Adolf Bovin,occupation,landscape architect
William Francis Allen,father,Joseph Allen
Cornel West,doctoral advisor,Sheldon Wolin
The Dutch Courtesan,form of creative work,play
Port Authority of New York and New Jersey,operator,George Washington Bridge
USS LST-359,conflict,World War II
European Digital Rights,field of work,copyright
Tetsugaku Letra,instance of,manga series
Yubisaki Milk Tea,published in,Young Animal
Parsifal,genre,opera
Whitehaven RLFC,league,Championship
Kambiz Derambakhsh,cause of death,COVID-19
Everett Spruce,collection creator,Museum of Modern Art
writings of Marcus Tullius Cicero,has part,De legibus
Amy Manson,located in the administrative territorial entity,Scotland
George J. Walker,academic major,political science
2003–04 NBL season,country,Australia
Abdul Wahab Dalimunthe,place of death,Medan
Edward VIII,allegiance,United Kingdom
Justin Harney,sport,ice hockey
Jack Whiting,occupation,dancer
Alain Pluchet,cause of death,COVID-19
Claudius Gothicus,father,Gordian II
Carcharhinus altimus,original combination,Eulamia altima
apostrophe,depicted by,'
Chuanqiandian Cluster Miao,writing system,Latin script
Carrie P. Meek,place of death,Miami
Haiku Society of America,interested in,haiku in English
Lincoln,of,Nebraska
Cecilio Domínguez,country for sport,Paraguay
Mastai family,has part,Pius IX
Michael Corballis,conferred by,McGill University
Squaxin Island,located in or next to body of water,Puget Sound
Jack Whiting,country of citizenship,Kansas
The Day Before You Came,composer,Benny Andersson
Hiroyuki Noritake,affiliation,Synchronized DNA
Giancarlo Esposito,for work,Far Cry 6
Simone Tognon,languages spoken written or signed,Italian
Il Pulcino Pio,record label,Globo Records
1980 Lacoste Cup,located in the administrative territorial entity,Cologne
Brighouse Rangers RFC,sport,rugby
Pamela Snow,employer,Monash University
Christopher Luxon,of,Air New Zealand
Joe Maca,child,Alain Maca
Reilly Ace of Spies,cast member,Sam Neill
Nuʿmān ʿAbd al-Razzāq Sāmarrāʾī,religion,Islam
Luigi Reitani,interested in,Arthur Schnitzler
Joseph Yahalom,child,Shalem Yahalom
Rusyns,native language,Russian
Doncaster Greyhound Track,sport,rugby league
Love under the Crucifix,EIRIN film rating,G
John Pearson,genre,biography
arXiv,funder,Cornell University
Loch Glascarnoch,located in the administrative territorial entity,Highland
Never Gonna Cry Again,identity of object in context,Eurythmics
Jean-Marcel Goger,field of work,road network
RA Photo Club,country,Canada
Michael Strahan,member of the crew of,Blue Origin NS-19
Margo Guryan,place of death,Los Angeles
Elisha,place of death,Samaria
Terakado Seiken,place of birth,Mito Domain
Anti-Counterfeiting Trade Agreement,signatory,Japan
Yen Le Espiritu,occupation,sociologist
1983 Cologne Cup,surface played on,carpet court
Siamaggiore,language of work or name,Italian
Mainzer Stadtschreiber,language of work or name,German
nasi uduk,indigenous to,Jakarta
Jacqueline E. Schafer,academic major,economics
Animal Practice,cast member,Justin Kirk
Rosa 'Compassion',creator,Harkness Roses
Ann E. Blandford,employer,Middlesex University
Guillermo Roux,award received,Konex Award
Princess Louise Charlotte of Denmark,located in the administrative territorial entity,Copenhagen
Herron Island,object has role,U.S. state
